node_index,node_type,cpu_cap,bw_cap,mem_cap,sto_cap,pidle,pmax
N01,Server_Dell_R640,43200,10240,393216,2048000,54.1,272.0
N02,Server_Dell_R640,43200,10240,393216,2048000,54.1,272.0
N03,Server_HPE_DL360,30000,1024,131072,1024000,42.0,180.0
N04,Server_HPE_DL360,30000,1024,131072,1024000,42.0,180.0
N05,Gateway_Intel_NUC,15000,1024,16384,512000,12.0,65.0
N06,Gateway_Intel_NUC,15000,1024,16384,512000,12.0,65.0
N07,Edge_Raspberry_Pi5,4000,1024,8192,131072,4.2,12.5
N08,Edge_Raspberry_Pi5,4000,1024,8192,131072,4.2,12.5
N09,Edge_Jetson_Orin,2500,1024,4096,65536,1.5,15.0
N10,Edge_Jetson_Orin,2500,1024,4096,65536,1.5,15.0
