node_index,node_type,cpu_cap,bw_cap,mem_cap,sto_cap,pidle,pmax
N01,Server_Dell_R640,43200,10240,393216,2048000,54.1,272.0
N02,Server_Dell_R640,43200,10240,393216,2048000,54.1,272.0
N03,Server_HPE_DL360,30000,1024,131072,1024000,42.0,180.0
N04,Server_HPE_DL360,30000,1024,131072,1024000,42.0,180.0
N05,Gateway_Intel_NUC,15000,1024,16384,512000,12.0,65.0
N06,Gateway_Intel_NUC,15000,1024,16384,512000,12.0,65.0
N07,Edge_Raspberry_Pi5,4000,1024,8192,131072,4.2,12.5
N08,Edge_Raspberry_Pi5,4000,1024,8192,131072,4.2,12.5
N09,Edge_Jetson_Orin,2500,1024,4096,65536,1.5,15.0
N10,Edge_Jetson_Orin,2500,1024,4096,65536,1.5,15.0
N11,Edge_Raspberry_Pi5,4000,1024,8192,131072,4.2,12.5
N12,Edge_Jetson_Orin,2500,1024,4096,65536,1.5,15.0
N13,Gateway_Intel_NUC,15000,1024,16384,512000,12.0,65.0
N14,Edge_Jetson_Orin,2500,1024,4096,65536,1.5,15.0
N15,Edge_Jetson_Orin,2500,1024,4096,65536,1.5,15.0
N16,Server_HPE_DL360,30000,1024,131072,1024000,42.0,180.0
N17,Gateway_Intel_NUC,15000,1024,16384,512000,12.0,65.0
N18,Gateway_Intel_NUC,15000,1024,16384,512000,12.0,65.0
N19,Gateway_Intel_NUC,15000,1024,16384,512000,12.0,65.0
N20,Edge_Jetson_Orin,2500,1024,4096,65536,1.5,15.0
N21,Edge_Raspberry_Pi5,4000,1024,8192,131072,4.2,12.5
N22,Gateway_Intel_NUC,15000,1024,16384,512000,12.0,65.0
N23,Edge_Jetson_Orin,2500,1024,4096,65536,1.5,15.0
N24,Server_HPE_DL360,30000,1024,131072,1024000,42.0,180.0
N25,Edge_Raspberry_Pi5,4000,1024,8192,131072,4.2,12.5
N26,Server_HPE_DL360,30000,1024,131072,1024000,42.0,180.0
N27,Edge_Raspberry_Pi5,4000,1024,8192,131072,4.2,12.5
N28,Edge_Jetson_Orin,2500,1024,4096,65536,1.5,15.0
N29,Server_Dell_R640,43200,10240,393216,2048000,54.1,272.0
N30,Edge_Raspberry_Pi5,4000,1024,8192,131072,4.2,12.5
N31,Server_HPE_DL360,30000,1024,131072,1024000,42.0,180.0
N32,Edge_Jetson_Orin,2500,1024,4096,65536,1.5,15.0
N33,Edge_Raspberry_Pi5,4000,1024,8192,131072,4.2,12.5
N34,Server_Dell_R640,43200,10240,393216,2048000,54.1,272.0
N35,Server_Dell_R640,43200,10240,393216,2048000,54.1,272.0
N36,Gateway_Intel_NUC,15000,1024,16384,512000,12.0,65.0
N37,Gateway_Intel_NUC,15000,1024,16384,512000,12.0,65.0
N38,Server_HPE_DL360,30000,1024,131072,1024000,42.0,180.0
N39,Edge_Raspberry_Pi5,4000,1024,8192,131072,4.2,12.5
N40,Edge_Raspberry_Pi5,4000,1024,8192,131072,4.2,12.5
N41,Gateway_Intel_NUC,15000,1024,16384,512000,12.0,65.0
N42,Edge_Raspberry_Pi5,4000,1024,8192,131072,4.2,12.5
N43,Edge_Raspberry_Pi5,4000,1024,8192,131072,4.2,12.5
N44,Server_Dell_R640,43200,10240,393216,2048000,54.1,272.0
N45,Gateway_Intel_NUC,15000,1024,16384,512000,12.0,65.0
N46,Edge_Jetson_Orin,2500,1024,4096,65536,1.5,15.0
N47,Gateway_Intel_NUC,15000,1024,16384,512000,12.0,65.0
N48,Edge_Jetson_Orin,2500,1024,4096,65536,1.5,15.0
N49,Server_Dell_R640,43200,10240,393216,2048000,54.1,272.0
