Application,Allocations,TotalEnergy_W,TimePlacement_s,TimeSolver_s,Status
services_app_01,"[(0, 29), (1, 41), (2, 41), (3, 29), (4, 24), (5, 24), (6, 41), (7, 24), (8, 41), (9, 29), (10, 29), (11, 42), (12, 24), (13, 42), (14, 42), (15, 29), (16, 24), (17, 29), (18, 29), (19, 24), (20, 42), (21, 42), (22, 42), (23, 29), (24, 29)]",43.615225,1.33150291,0.2627418041229248,Optimal
services_app_02,"[(0, 24), (1, 24), (2, 24), (3, 41), (4, 24), (5, 24), (6, 24), (7, 42), (8, 38), (9, 38), (10, 42), (11, 38), (12, 38), (13, 41), (14, 42), (15, 41), (16, 41), (17, 42), (18, 42), (19, 41), (20, 38)]",46.267075000000006,0.31816626,0.19608402252197266,Optimal
services_app_03,"[(0, 6), (1, 41), (2, 6), (3, 22), (4, 32), (5, 32), (6, 6), (7, 41), (8, 22), (9, 41), (10, 32), (11, 32), (12, 41), (13, 6), (14, 41), (15, 41), (16, 41), (17, 6), (18, 32), (19, 32)]",41.820475,0.93259120,0.8164129257202148,Optimal
services_app_04,"[(0, 42), (1, 39), (2, 42), (3, 42), (4, 24), (5, 41), (6, 24), (7, 39), (8, 41), (9, 39), (10, 41), (11, 24), (12, 24), (13, 24), (14, 24), (15, 42), (16, 24), (17, 42), (18, 39), (19, 39)]",44.31865,0.32015610,0.17348694801330566,Optimal
services_app_05,"[(0, 24), (1, 32), (2, 32), (3, 32), (4, 29), (5, 24), (6, 24), (7, 42), (8, 42), (9, 42), (10, 42), (11, 29), (12, 42), (13, 32), (14, 24), (15, 29), (16, 24), (17, 42), (18, 24), (19, 29), (20, 42), (21, 42), (22, 24), (23, 32)]",47.7839,0.31989598,0.18343806266784668,Optimal
services_app_06,"[(0, 32), (1, 6), (2, 10), (3, 10), (4, 24), (5, 10), (6, 24), (7, 10), (8, 13), (9, 32), (10, 32), (11, 6), (12, 24), (13, 24), (14, 10), (15, 24), (16, 6), (17, 24), (18, 6), (19, 32), (20, 32), (21, 13), (22, 6), (23, 32), (24, 32)]",54.921525,31.90893245,31.729049921035767,Optimal
services_app_07,"[(0, 42), (1, 32), (2, 42), (3, 32), (4, 20), (5, 20), (6, 20), (7, 42), (8, 32), (9, 39), (10, 39), (11, 39), (12, 42), (13, 32), (14, 20), (15, 39), (16, 20), (17, 20), (18, 42), (19, 32), (20, 42), (21, 42), (22, 39), (23, 32), (24, 32)]",49.365050000000004,0.34869576,0.18400001525878906,Optimal
services_app_08,"[(0, 6), (1, 42), (2, 32), (3, 6), (4, 42), (5, 32), (6, 6), (7, 32), (8, 32), (9, 32), (10, 32), (11, 42), (12, 42), (13, 6), (14, 8), (15, 6), (16, 32), (17, 42), (18, 6), (19, 6), (20, 8), (21, 6)]",40.562275,0.63711476,0.509462833404541,Optimal
services_app_09,"[(0, 38), (1, 38), (2, 20), (3, 42), (4, 42), (5, 38), (6, 38), (7, 41), (8, 20), (9, 41), (10, 42), (11, 20), (12, 20), (13, 38), (14, 42), (15, 41), (16, 42), (17, 42), (18, 20), (19, 20)]",46.047125,0.27798843,0.12831997871398926,Optimal
services_app_10,"[(0, 26), (1, 41), (2, 26), (3, 26), (4, 29), (5, 42), (6, 32), (7, 32), (8, 42), (9, 32), (10, 42), (11, 41), (12, 42), (13, 29), (14, 26), (15, 26), (16, 32), (17, 29), (18, 32), (19, 42), (20, 41), (21, 42), (22, 41), (23, 42), (24, 42)]",57.094625,0.34905100,0.20659112930297852,Optimal
