Application,Allocations,TotalEnergy_W,TimePlacement_s,TimeSolver_s,Status
App0,"[(0, 9), (1, 16), (2, 27), (3, 13), (4, 21), (5, 42), (6, 13), (7, 35), (8, 21), (9, 5), (10, 27), (11, 42), (12, 9), (13, 9), (14, 48), (15, 5), (16, 2), (17, 47), (18, 14), (19, 35), (20, 29), (21, 35), (22, 13), (23, 13), (24, 47)]",925.6999999999999,11.57104897,10.07866907119751,Optimal
App1,"[(0, 16), (1, 21), (2, 47), (3, 16), (4, 29), (5, 13), (6, 42), (7, 15), (8, 47), (9, 3), (10, 36), (11, 29), (12, 36), (13, 42), (14, 21), (15, 43), (16, 2), (17, 29), (18, 27), (19, 43), (20, 48), (21, 36), (22, 33), (23, 48), (24, 47), (25, 13), (26, 33), (27, 13)]",679.65,143.02821827,142.79534101486206,Optimal
App2,"[(0, 5), (1, 35), (2, 42), (3, 47), (4, 22), (5, 42), (6, 5), (7, 29), (8, 48), (9, 9), (10, 9), (11, 29), (12, 2), (13, 29), (14, 3), (15, 43), (16, 35), (17, 36), (18, 47), (19, 21), (20, 9), (21, 3), (22, 35), (23, 48)]",876.25,7.91970348,7.712307929992676,Optimal
App3,"[(0, 13), (1, 5), (2, 2), (3, 42), (4, 35), (5, 13), (6, 26), (7, 42), (8, 29), (9, 13), (10, 3), (11, 48), (12, 35), (13, 43), (14, 35), (15, 26), (16, 27), (17, 29), (18, 5), (19, 36), (20, 42), (21, 21), (22, 48), (23, 27), (24, 21), (25, 21)]",798.65,19.04255939,18.786022186279297,Optimal
App4,"[(0, 5), (1, 48), (2, 29), (3, 4), (4, 29), (5, 5), (6, 43)]",209.70000000000005,0.17899728,0.0884552001953125,Optimal
App5,"[(0, 43), (1, 48), (2, 36), (3, 13), (4, 43), (5, 13), (6, 27), (7, 20), (8, 2), (9, 5), (10, 21), (11, 27), (12, 21), (13, 20), (14, 48), (15, 33), (16, 5), (17, 13), (18, 13), (19, 3), (20, 42), (21, 29), (22, 42), (23, 42), (24, 46), (25, 29)]",717.3,9.61953425,9.360666036605835,Optimal
App6,"[(0, 43), (1, 11), (2, 36), (3, 36), (4, 8), (5, 11), (6, 8), (7, 46)]",401.05,0.22627735,0.07659792900085449,Optimal
App7,"[(0, 13), (1, 5), (2, 4), (3, 3), (4, 27), (5, 13), (6, 29), (7, 27), (8, 36), (9, 33), (10, 8), (11, 42), (12, 8), (13, 13), (14, 5), (15, 14), (16, 33), (17, 29)]",648.5000000000001,3.06978965,2.911642074584961,Optimal
App8,"[(0, 7), (1, 13), (2, 11), (3, 8), (4, 11), (5, 5), (6, 21), (7, 3), (8, 43), (9, 9), (10, 36), (11, 21), (12, 13), (13, 9), (14, 3), (15, 8), (16, 7), (17, 9), (18, 5), (19, 5), (20, 11)]",898.85,16.46148467,16.282676935195923,Optimal
App9,"[(0, 11), (1, 45), (2, 42), (3, 47), (4, 47), (5, 11), (6, 8), (7, 13), (8, 5), (9, 43), (10, 8), (11, 13), (12, 13), (13, 21), (14, 36), (15, 43), (16, 45), (17, 3), (18, 36), (19, 45), (20, 48), (21, 48), (22, 21)]",888.85,9.52186394,9.269866943359375,Optimal
App10,"[(0, 35), (1, 33), (2, 48), (3, 26), (4, 5), (5, 13), (6, 26), (7, 16), (8, 43), (9, 27), (10, 34), (11, 11), (12, 13), (13, 30), (14, 5), (15, 2), (16, 13), (17, 27), (18, 33), (19, 35), (20, 5), (21, 43), (22, 11)]",761.9499999999999,7.06382728,6.87383508682251,Optimal
App11,"[(0, 2), (1, 37), (2, 37), (3, 48), (4, 37), (5, 5)]",203.35,0.09058285,0.017695903778076172,Optimal
