Application,MinNodes,MeanNodes,StdNodes,MeanTime,BestAllocations
App0,14,15.69,0.8209141246196219,0.0005412435531616211,"[[14, 9], [8, 9], [19, 9], [3, 9], [1, 40], [20, 24], [23, 24], [17, 41], [16, 17], [11, 17], [24, 13], [10, 13], [22, 13], [12, 11], [15, 11], [13, 44], [2, 28], [18, 8], [21, 8], [5, 1], [4, 1], [7, 19], [9, 35], [0, 35], [6, 7]]"
App1,13,14.12,0.7520638270785267,0.000654144287109375,"[[19, 9], [6, 9], [4, 9], [25, 9], [21, 9], [3, 9], [12, 40], [22, 40], [8, 40], [27, 24], [2, 24], [9, 41], [13, 17], [15, 17], [17, 13], [5, 13], [10, 13], [23, 13], [16, 11], [1, 11], [11, 44], [18, 8], [7, 8], [14, 1], [24, 19], [20, 35], [0, 35], [26, 37]]"
App2,15,17.01,0.8774394566008528,0.0005368232727050781,"[[16, 9], [22, 9], [5, 9], [11, 9], [20, 40], [10, 24], [14, 24], [4, 41], [21, 17], [8, 13], [23, 13], [0, 13], [18, 11], [13, 11], [9, 44], [3, 28], [19, 8], [7, 8], [12, 1], [2, 19], [6, 35], [1, 35], [15, 22], [17, 47]]"
App3,13,15.26,0.9013323471395,0.00048794269561767576,"[[0, 9], [7, 9], [8, 9], [11, 9], [14, 40], [21, 40], [5, 24], [17, 24], [4, 41], [3, 17], [15, 17], [20, 13], [16, 13], [6, 13], [10, 11], [9, 11], [19, 44], [2, 28], [23, 28], [24, 8], [25, 8], [18, 8], [13, 1], [1, 19], [12, 19], [22, 35]]"
App4,3,3.94,0.4431703961232068,0.00022715091705322266,"[[2, 9], [3, 9], [0, 9], [1, 9], [5, 24], [4, 24], [6, 17]]"
App5,14,16.57,0.8631917515824625,0.000558774471282959,"[[12, 9], [13, 9], [25, 9], [16, 40], [8, 24], [3, 24], [18, 41], [19, 41], [20, 17], [22, 17], [15, 13], [1, 13], [23, 13], [14, 11], [10, 11], [6, 44], [21, 28], [9, 28], [4, 8], [17, 8], [24, 1], [5, 19], [2, 35], [7, 35], [0, 37], [11, 37]]"
App6,5,5.59,0.4918333050943174,0.0002660846710205078,"[[1, 9], [5, 9], [3, 9], [7, 40], [4, 24], [2, 24], [6, 17], [0, 13]]"
App7,10,11.64,0.7002856560004638,0.00043425083160400393,"[[15, 9], [13, 9], [7, 9], [10, 40], [6, 40], [11, 24], [9, 41], [1, 17], [0, 17], [16, 17], [12, 13], [4, 13], [5, 11], [17, 11], [2, 28], [14, 8], [8, 8], [3, 1]]"
App8,11,12.39,0.6307931515164064,0.0004512405395507813,"[[9, 9], [18, 9], [14, 9], [16, 9], [4, 9], [2, 40], [13, 24], [7, 24], [6, 24], [19, 41], [20, 41], [11, 17], [5, 17], [12, 13], [1, 13], [15, 11], [0, 11], [3, 8], [10, 1], [17, 19], [8, 37]]"
App9,13,14.22,0.6720119046564577,0.0005468893051147461,"[[12, 9], [11, 9], [7, 9], [22, 40], [19, 40], [0, 24], [14, 24], [15, 24], [6, 41], [5, 17], [16, 17], [9, 13], [13, 13], [3, 13], [4, 11], [18, 11], [21, 44], [10, 44], [1, 28], [17, 8], [2, 1], [20, 19], [8, 35]]"
