Application,MinHops,MeanMinHops,StdMinHops,MeanTime,BestAllocations
App0,23.0,26.99,1.9722829411623473,0.00032961606979370117,"[(0, 16), (1, 9), (2, 9), (3, 9), (4, 23), (5, 24), (6, 45), (7, 47), (8, 30), (9, 17), (10, 26), (11, 26), (12, 1), (13, 13), (14, 13), (15, 13), (16, 8), (17, 8), (18, 11), (19, 11), (20, 20), (21, 27), (22, 43), (23, 43), (24, 22)]"
App1,19.0,22.86,2.4658467105641417,0.00033756732940673826,"[(0, 9), (1, 9), (2, 9), (3, 9), (4, 9), (5, 23), (6, 24), (7, 17), (8, 17), (9, 26), (10, 26), (11, 34), (12, 1), (13, 47), (14, 13), (15, 13), (16, 8), (17, 11), (18, 11), (19, 3), (20, 3), (21, 20), (22, 20), (23, 43), (24, 27), (25, 21), (26, 21), (27, 22)]"
App2,25.0,28.28,1.8280043763623761,0.0003568243980407715,"[(0, 44), (1, 10), (2, 14), (3, 12), (4, 28), (5, 23), (6, 9), (7, 9), (8, 16), (9, 9), (10, 19), (11, 13), (12, 13), (13, 13), (14, 8), (15, 11), (16, 8), (17, 3), (18, 20), (19, 43), (20, 27), (21, 15), (22, 7), (23, 22)]"
App3,20.0,29.01,2.8930779457180202,0.00035077810287475586,"[(0, 9), (1, 9), (2, 19), (3, 16), (4, 28), (5, 23), (6, 24), (7, 24), (8, 17), (9, 26), (10, 1), (11, 47), (12, 47), (13, 45), (14, 13), (15, 13), (16, 13), (17, 13), (18, 8), (19, 8), (20, 11), (21, 11), (22, 3), (23, 20), (24, 43), (25, 43)]"
App4,2.0,4.84,1.6044936896105262,0.00012575149536132814,"[(0, 13), (1, 13), (2, 13), (3, 13), (4, 8), (5, 8), (6, 11)]"
App5,25.0,28.86,2.2181974664127626,0.00036815404891967776,"[(0, 29), (1, 29), (2, 12), (3, 14), (4, 14), (5, 35), (6, 10), (7, 44), (8, 19), (9, 5), (10, 21), (11, 22), (12, 21), (13, 22), (14, 4), (15, 5), (16, 3), (17, 11), (18, 11), (19, 8), (20, 8), (21, 13), (22, 13), (23, 25), (24, 1), (25, 47)]"
App6,5.0,7.68,1.7881834357805688,0.0001541781425476074,"[(0, 20), (1, 11), (2, 11), (3, 8), (4, 8), (5, 13), (6, 13), (7, 31)]"
App7,16.0,19.07,2.333473805295444,0.00027096033096313477,"[(0, 7), (1, 22), (2, 4), (3, 5), (4, 21), (5, 27), (6, 20), (7, 20), (8, 43), (9, 3), (10, 11), (11, 11), (12, 8), (13, 13), (14, 13), (15, 49), (16, 1), (17, 47)]"
App8,19.0,23.08,1.5979987484350542,0.00030610799789428713,"[(0, 47), (1, 1), (2, 49), (3, 13), (4, 13), (5, 13), (6, 13), (7, 8), (8, 8), (9, 2), (10, 11), (11, 3), (12, 20), (13, 22), (14, 5), (15, 19), (16, 19), (17, 9), (18, 9), (19, 23), (20, 24)]"
App9,17.0,24.28,3.510213668710211,0.0003057050704956055,"[(0, 32), (1, 31), (2, 11), (3, 11), (4, 8), (5, 13), (6, 1), (7, 47), (8, 45), (9, 24), (10, 17), (11, 17), (12, 23), (13, 23), (14, 9), (15, 9), (16, 9), (17, 9), (18, 16), (19, 19), (20, 19), (21, 44), (22, 4)]"
App10,19.0,24.33,3.1813676304382055,0.0003104066848754883,"[(0, 26), (1, 30), (2, 17), (3, 24), (4, 42), (5, 23), (6, 9), (7, 9), (8, 19), (9, 19), (10, 44), (11, 22), (12, 5), (13, 21), (14, 21), (15, 5), (16, 13), (17, 13), (18, 8), (19, 8), (20, 2), (21, 37), (22, 37)]"
App11,2.0,4.89,1.3848826665100549,0.00011586427688598633,"[(0, 13), (1, 13), (2, 13), (3, 8), (4, 11), (5, 11)]"
App12,13.0,16.73,2.1253470304870214,0.00022537946701049803,"[(0, 14), (1, 10), (2, 35), (3, 10), (4, 35), (5, 5), (6, 5), (7, 21), (8, 27), (9, 43), (10, 11), (11, 11), (12, 8), (13, 8), (14, 13)]"
App13,19.0,21.93,2.6239474080095433,0.00029048681259155276,"[(0, 11), (1, 3), (2, 11), (3, 8), (4, 8), (5, 13), (6, 13), (7, 1), (8, 1), (9, 1), (10, 47), (11, 47), (12, 45), (13, 24), (14, 17), (15, 23), (16, 9), (17, 9), (18, 42), (19, 28), (20, 16), (21, 19)]"
App14,36.0,39.63333333333333,1.2905640455070624,0.000386655330657959,"[(0, 19), (1, 16), (2, 9), (3, 9), (4, 9), (5, 9), (6, 24), (7, 17), (8, 23), (9, 29), (10, 22), (11, 5), (12, 13), (13, 13), (14, 13), (15, 8), (16, 11), (17, 35), (18, 5), (19, 21), (20, 27), (21, 43), (22, 43), (23, 3), (24, 20), (25, 37), (26, 45), (27, 47), (28, 47)]"
App15,13.0,15.97,1.7913961036018808,0.00021590709686279298,"[(0, 24), (1, 9), (2, 16), (3, 19), (4, 19), (5, 25), (6, 5), (7, 22), (8, 4), (9, 35), (10, 13), (11, 13), (12, 13), (13, 8), (14, 8)]"
App16,13.0,17.3,1.7291616465790585,0.00023360252380371093,"[(0, 13), (1, 13), (2, 13), (3, 8), (4, 11), (5, 3), (6, 20), (7, 43), (8, 21), (9, 22), (10, 39), (11, 22), (12, 4), (13, 5), (14, 5), (15, 10)]"
App17,19.0,22.58,2.9263629303283625,0.000291905403137207,"[(0, 7), (1, 15), (2, 27), (3, 20), (4, 3), (5, 11), (6, 11), (7, 11), (8, 8), (9, 13), (10, 13), (11, 13), (12, 37), (13, 1), (14, 47), (15, 47), (16, 45), (17, 24), (18, 17), (19, 23), (20, 9), (21, 9), (22, 9)]"
App18,11.0,16.65,3.1980462785894765,0.00022861003875732422,"[(0, 13), (1, 13), (2, 13), (3, 8), (4, 8), (5, 11), (6, 3), (7, 20), (8, 20), (9, 11), (10, 3), (11, 43), (12, 43), (13, 27), (14, 21), (15, 21), (16, 5)]"
App19,10.0,13.88,2.350659481932677,0.0001991868019104004,"[(0, 49), (1, 13), (2, 13), (3, 8), (4, 11), (5, 3), (6, 20), (7, 43), (8, 43), (9, 21), (10, 22), (11, 7)]"
