Application,MinEnergy(W),MeanEnergy(W),StdEnergy(W),MeanTime(s),BestAllocations
App0,1014.4499999999998,1014.45,9.511723266474241e-14,0.0006508183479309082,"[[13, 20], [12, 45], [20, 29], [6, 47], [24, 42], [21, 49], [18, 14], [17, 46], [19, 43], [3, 27], [22, 10], [10, 5], [15, 36], [7, 21], [5, 26], [11, 3], [4, 38], [14, 48], [2, 31], [16, 2], [1, 27], [8, 43], [0, 25], [23, 47], [9, 33]]"
App1,724.4,724.3999999999997,3.1689887384269137e-13,0.000916600227355957,"[[27, 29], [5, 20], [18, 27], [24, 43], [4, 14], [13, 46], [15, 5], [8, 49], [14, 36], [9, 3], [17, 48], [23, 21], [10, 2], [16, 42], [6, 26], [25, 42], [19, 49], [0, 4], [2, 26], [11, 29], [12, 21], [26, 33], [7, 25], [3, 20], [1, 14], [21, 15], [20, 15], [22, 36]]"
App2,909.4499999999998,909.45,1.401625468808783e-13,0.000684351921081543,"[[4, 22], [10, 20], [1, 10], [18, 29], [11, 26], [20, 49], [15, 43], [9, 46], [5, 21], [19, 5], [16, 36], [17, 3], [6, 14], [3, 26], [14, 42], [22, 42], [2, 2], [12, 48], [23, 27], [0, 27], [13, 42], [7, 4], [8, 15], [21, 25]]"
App3,863.9999999999998,864.0,9.910988736784642e-14,0.00069627046585083,"[[0, 29], [15, 20], [8, 42], [13, 43], [12, 14], [23, 49], [9, 27], [4, 38], [5, 46], [14, 10], [20, 5], [19, 36], [10, 3], [6, 21], [18, 31], [17, 20], [21, 31], [2, 2], [22, 48], [7, 45], [16, 27], [1, 45], [24, 21], [25, 29], [3, 15], [11, 48]]"
App4,214.7,214.69999999999996,4.1835623516930536e-14,0.0002753403451707628,"[[4, 29], [6, 43], [1, 48], [5, 2], [2, 29], [0, 3], [3, 4]]"
App5,826.2999999999998,826.314,0.022449944320634272,0.0007243800163269043,"[[7, 42], [5, 27], [0, 14], [25, 43], [3, 46], [21, 38], [24, 29], [11, 49], [13, 5], [17, 20], [22, 20], [2, 36], [19, 3], [9, 21], [12, 48], [1, 26], [6, 2], [8, 31], [18, 26], [20, 47], [10, 16], [16, 43], [23, 15], [15, 33], [4, 21], [14, 42]]"
App6,403.2999999999999,403.29999999999995,3.194324375209682e-14,0.0003125793055484169,"[[1, 32], [6, 29], [4, 49], [5, 42], [0, 43], [7, 46], [3, 36], [2, 36]]"
App7,663.2499999999999,663.25,6.949106199296313e-14,0.0006206559610890818,"[[10, 29], [0, 10], [13, 20], [11, 42], [6, 49], [12, 27], [15, 14], [7, 46], [1, 5], [8, 36], [17, 20], [3, 3], [5, 21], [4, 48], [2, 4], [16, 21], [14, 5], [9, 25]]"
App8,927.5499999999998,927.55,1.3923737144427707e-13,0.000591440200805664,"[[17, 20], [1, 45], [13, 29], [15, 26], [12, 10], [3, 42], [0, 49], [2, 27], [8, 43], [20, 38], [16, 14], [4, 39], [10, 36], [14, 3], [6, 39], [19, 38], [18, 48], [9, 48], [11, 4], [5, 27], [7, 29]]"
App9,978.15,978.1499999999997,3.6273050076360544e-13,0.000633695125579834,"[[7, 47], [6, 32], [0, 29], [4, 20], [5, 26], [2, 42], [10, 14], [19, 46], [1, 43], [8, 5], [12, 49], [15, 21], [13, 3], [14, 36], [17, 27], [3, 38], [11, 48], [20, 16], [16, 27], [9, 8], [21, 20], [18, 36], [22, 38]]"
